Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
14/06/14,transport,transport,2014-06-14T08:42:21+01:00,2014-06-14T08:49:52+01:00,451,0.895,0,0
14/06/14,walking,walking,2014-06-14T08:49:56+01:00,2014-06-14T08:50:43+01:00,47,0.019,62,2
14/06/14,walking,walking,2014-06-14T11:26:00+01:00,2014-06-14T11:26:08+01:00,8,0.004,11,0
15/06/14,walking,walking,2014-06-15T09:22:59+01:00,2014-06-15T09:23:10+01:00,11,0.005,15,1
17/06/14,walking,walking,2014-06-17T07:26:10+01:00,2014-06-17T07:30:47+01:00,277,0.179,320,21
17/06/14,walking,walking,2014-06-17T07:30:47+01:00,2014-06-17T07:32:19+01:00,92,0.038,122,5
17/06/14,transport,transport,2014-06-17T07:42:09+01:00,2014-06-17T07:44:41+01:00,152,0.729,0,0
17/06/14,walking,walking,2014-06-17T07:44:41+01:00,2014-06-17T07:47:41+01:00,180,0.122,332,15
17/06/14,transport,transport,2014-06-17T07:47:41+01:00,2014-06-17T08:08:55+01:00,1274,11.961,0,0
17/06/14,walking,walking,2014-06-17T08:08:54+01:00,2014-06-17T08:14:24+01:00,330,0.110,353,13
17/06/14,transport,transport,2014-06-17T08:14:24+01:00,2014-06-17T08:44:31+01:00,1807,4.795,0,0
17/06/14,walking,walking,2014-06-17T08:44:31+01:00,2014-06-17T08:49:31+01:00,300,0.104,309,12
17/06/14,transport,transport,2014-06-17T08:49:31+01:00,2014-06-17T09:02:21+01:00,770,9.567,0,0
17/06/14,transport,transport,2014-06-17T09:38:09+01:00,2014-06-17T09:48:23+01:00,614,3.611,0,0
17/06/14,walking,walking,2014-06-17T09:48:22+01:00,2014-06-17T09:53:54+01:00,332,0.169,383,20
17/06/14,walking,walking,2014-06-17T09:53:55+01:00,2014-06-17T09:55:33+01:00,98,0.041,132,5
